"","InvName2","InvID2","website"
"1974","Denis Fayolle","5474579296288768","http://www.seed-db.com/investorgraph/investorview?investorid=5474579296288768"
"1975","Denis Grosz","4826863868313600","http://www.seed-db.com/investorgraph/investorview?investorid=4826863868313600"
"1976","Denis Hennequin","5765395826868224","http://www.seed-db.com/investorgraph/investorview?investorid=5765395826868224"
"1977","Dennis Bennie","5081551805087744","http://www.seed-db.com/investorgraph/investorview?investorid=5081551805087744"
"1978","Dennis Crowley","5296894515347456","http://www.seed-db.com/investorgraph/investorview?investorid=5296894515347456"
"1979","Dennis Dayman","6660882713018368","http://www.seed-db.com/investorgraph/investorview?investorid=6660882713018368"
"1980","Dennis Phelps","5712369086889984","http://www.seed-db.com/investorgraph/investorview?investorid=5712369086889984"
"1981","Dennis Pilarinos","5648075200659456","http://www.seed-db.com/investorgraph/investorview?investorid=5648075200659456"
"1982","Dennis Roberson","5148048434921472","http://www.seed-db.com/investorgraph/investorview?investorid=5148048434921472"
"1983","Dennis Round","5457479743832064","http://www.seed-db.com/investorgraph/investorview?investorid=5457479743832064"
"1984","Dennis V. Valenti","4978811259060224","http://www.seed-db.com/investorgraph/investorview?investorid=4978811259060224"
"1985","Denny Hill Capital","5057491796754432","http://www.seed-db.com/investorgraph/investorview?investorid=5057491796754432"
"1986","Dentsu Ventures","6071486066458624","http://www.seed-db.com/investorgraph/investorview?investorid=6071486066458624"
"1987","Derek Smith","4925587177078784","http://www.seed-db.com/investorgraph/investorview?investorid=4925587177078784"
"1988","Derek Smith","5758068629438464","http://www.seed-db.com/investorgraph/investorview?investorid=5758068629438464"
"1989","Derrik Deyhimi","5657131512496128","http://www.seed-db.com/investorgraph/investorview?investorid=5657131512496128"
"1990","Des Traynor","5714029444071424","http://www.seed-db.com/investorgraph/investorview?investorid=5714029444071424"
"1991","Designer Fund","5579552860405760","http://www.seed-db.com/investorgraph/investorview?investorid=5579552860405760"
"1992","Detonate Ventures","5674329048088576","http://www.seed-db.com/investorgraph/investorview?investorid=5674329048088576"
"1993","Detroit Innovate","6552332586188800","http://www.seed-db.com/investorgraph/investorview?investorid=6552332586188800"
"1994","Detroit Venture Partners","5714829197180928","http://www.seed-db.com/investorgraph/investorview?investorid=5714829197180928"
"1995","Deutsche Bank","5648913377787904","http://www.seed-db.com/investorgraph/investorview?investorid=5648913377787904"
"1996","Deutsche Telekom Capital Partners","5679677523886080","http://www.seed-db.com/investorgraph/investorview?investorid=5679677523886080"
"1997","Deutsche Telekom Strategic Investments","5097346949971968","http://www.seed-db.com/investorgraph/investorview?investorid=5097346949971968"
"1998","Devdutt Yellurkar","5656773889359872","http://www.seed-db.com/investorgraph/investorview?investorid=5656773889359872"
"1999","Devin Johnson","4551284807958528","http://www.seed-db.com/investorgraph/investorview?investorid=4551284807958528"
"2000","Devon Galloway","4815786157801472","http://www.seed-db.com/investorgraph/investorview?investorid=4815786157801472"
"2001","Devon Galloway","6063195869413376","http://www.seed-db.com/investorgraph/investorview?investorid=6063195869413376"
"2002","Devon George","5575165010247680","http://www.seed-db.com/investorgraph/investorview?investorid=5575165010247680"
"2003","Devonshire Investors","5704283810955264","http://www.seed-db.com/investorgraph/investorview?investorid=5704283810955264"
"2004","Dharmesh Shah","4673025387528192","http://www.seed-db.com/investorgraph/investorview?investorid=4673025387528192"
