Investor,Seed-DB code,Seed-DB webpage
Advait Shinde,5.74E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5735061764702208
Advancit Capital,5.37E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5374146049474560
Advantage Capital Partners,5.19E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5185274581614592
Adventure Capital,5.53E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5531320109236224
Afore Capital,5.18E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5183521324793856
Africa Angels Network,5.26E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5264632436490240
Afshin Khosrowshahi,5.00E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5004368155770880
AfterDox,4.72E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4719794146246656
AgFunder,4.92E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4921196399296512
AgLaunch Accelerator,5.11E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5106695130841088
Agile Venture Capital,5.69E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5685212226781184
Agustin Cuenca,5.08E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5076963387506688
Agustin Cuenca,5.65E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5654305453375488
Ahmad Mohammed Ahmad Al-Sayed,4.53E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4530706935971840
Ahmad Mohammed Ahmad Al-Sayed,5.93E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5925032849047552
Ahmed Medhat,6.22E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6224787139461120
Air Asia,5.07E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5074213920571392
AirTree Ventures,4.81E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4812850715426816
Airbnb,6.48E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6475113402728448
Ajay Narula,5.00E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5000221901717504
Akshay Navle,5.23E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5232733072654336
Al Hamra Group,5.75E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5746110752620544
Alain Bankier,5.14E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5143380795326464
Alain Bankier,5.50E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5496343669768192
Alain Benzaken,6.16E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6158961921228800
Alain Roubach,4.98E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4983641985777664
Alan Jones,5.65E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5645847542890496
Alan Jones,6.75E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6754778218496000
Alan MacIntosh,5.01E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5006624653574144
Alan Matthew,5.76E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5757394302795776
Alan Stern,6.69E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6687419805990912
Alan Wizemann,5.36E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5363615859212288
Albatross Investment,4.83E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4833046603759616
Albatross Investment,6.23E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6229650837602304
Albert Armengol,6.59E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6591476398030848
"Albert Dobron, Jr.",6.27E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6266922643488768
Albert Ni,5.20E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5202893506347008
Albert Sheu,4.77E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4769366604251136
Albert Sheu,6.10E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6097611039703040
Alberto Benbunan,5.28E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5284839615889408
Alberto Cuevas,5.76E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5758310355566592
Alberto Gross,5.75E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5751734391537664
Alberto Moriondo,5.06E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5061544102592512
Alchemist Accelerator,5.94E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5938992130293760
Aldo Manzini,5.17E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5174515193610240
Alejandro Cosentino,5.71E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5710037724954624
Alejandro Ozerkovsky,4.95E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4947884621430784
Aleph,4.82E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4824146479415296
Aleph,5.85E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5845935317843968
Alessandro Piol,5.07E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5069440198639616
Alex Bard,5.55E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5549618448302080
Alex Bresler,5.89E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5890118351060992
Alex Chua,4.69E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4690672871276544
Alex Chung,6.35E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6345205003321344
Alex Diaz,5.38E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5380608482082816
Alex Enchin,5.42E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5418005433417728
Alex Giannikoulis,4.73E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4731409830772736
Alex Hoye,6.03E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6027257025921024
Alex Iskold,5.73E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5734441712353280
Alex Khein,5.24E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5235975340949504
Alex Le,5.75E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5752898038267904
Alex Lloyd,5.69E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5689234597871616
Alex Lloyd,6.22E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6222501843566592
Alex Modelski,5.69E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5688866623193088
Alex Modelski,6.46E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6456568526667776
Alex Moore,5.97E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5974063889514496
Alex Ott,6.70E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6695086322614272
Alex Payne,5.15E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5148270632370176
Alex Rainert,4.76E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4764772864098304
Alex Rampell,6.33E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6328874329702400
Alex Rigopulos,5.92E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5921463928356864
Alex Welch,5.64E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5638906624081920
Alex Zubillaga,5.66E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5657517153583104
Alex van Someren,5.58E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5579323884961792
